N = 1
axis 3 accel_decel = 500000
axis 3 conversion_factor = 4171.87
axis 3 name = platen
axis 3 steps_in_rev = 250000
axis 4 accel_decel = 500000
axis 4 conversion_factor = 417.448
axis 4 name = mandrel
axis 4 steps_in_rev = 25000
cathode 2 deposition_rate = 0.415
cathode 2 name = cathode 2
chamber_name = R&D1
current_N = 0
current_bilayer = 0
current_sweep_iterations = 0
mandrel_axis = 4
platen_axis = 3
run_name = RandD1_TiN_2july2014_Aposn_like18mar2013Aposn

begin header for RandD1_TiN_2july2014_Aposn_like18mar2013Aposn [ Wed, 7/2/2014 07:03:29.8933 AM ]
N = 1
axis 3 accel_decel = 500000
axis 3 conversion_factor = 4171.87
axis 3 name = platen
axis 3 steps_in_rev = 250000
axis 4 accel_decel = 500000
axis 4 conversion_factor = 417.448
axis 4 name = mandrel
axis 4 steps_in_rev = 25000
cathode 2 deposition_rate = 0.415
cathode 2 name = cathode 2
chamber_name = R&D1
current_N = 0
current_bilayer = 0
current_sweep_iterations = 0
mandrel_axis = 4
platen_axis = 3
run_name = RandD1_TiN_2july2014_Aposn_like18mar2013Aposn

begin header for RandD1_TiN_2july2014_Aposn_like18mar2013Aposn [ Wed, 7/2/2014 07:42:23.2996 AM ]
N = 1
axis 3 accel_decel = 500000
axis 3 conversion_factor = 4171.87
axis 3 name = platen
axis 3 steps_in_rev = 250000
axis 4 accel_decel = 500000
axis 4 conversion_factor = 417.448
axis 4 name = mandrel
axis 4 steps_in_rev = 25000
cathode 2 deposition_rate = 0.415
cathode 2 name = cathode 2
chamber_name = R&D1
current_N = 0
current_bilayer = 0
current_sweep_iterations = 0
mandrel_axis = 4
platen_axis = 3
run_name = RandD1_TiN_2july2014_Aposn_like18mar2013Aposn

starting layer 1
starting bilayer 1
ofsetting platen back -4.0 degrees
opening shutter 2 [ Wed, 7/2/2014 07:42:24.0183 AM ]
sweeping platen back and forth 940.0 times at 2.00051282051 RPM
starting sweep 114 of 940 [ Wed, 7/2/2014 07:43:45.4714 AM ]
starting sweep 115 of 940 [ Wed, 7/2/2014 07:43:46.1746 AM ]
starting sweep 116 of 940 [ Wed, 7/2/2014 07:43:46.8933 AM ]
starting sweep 117 of 940 [ Wed, 7/2/2014 07:43:47.6121 AM ]
starting sweep 118 of 940 [ Wed, 7/2/2014 07:43:48.3152 AM ]
starting sweep 119 of 940 [ Wed, 7/2/2014 07:43:49.0339 AM ]
starting sweep 120 of 940 [ Wed, 7/2/2014 07:43:49.7527 AM ]
starting sweep 121 of 940 [ Wed, 7/2/2014 07:43:50.4558 AM ]
starting sweep 122 of 940 [ Wed, 7/2/2014 07:43:51.1746 AM ]
starting sweep 123 of 940 [ Wed, 7/2/2014 07:43:51.8933 AM ]
starting sweep 124 of 940 [ Wed, 7/2/2014 07:43:52.6121 AM ]
starting sweep 125 of 940 [ Wed, 7/2/2014 07:43:53.3308 AM ]
starting sweep 126 of 940 [ Wed, 7/2/2014 07:43:54.0652 AM ]
starting sweep 127 of 940 [ Wed, 7/2/2014 07:43:54.7839 AM ]
starting sweep 128 of 940 [ Wed, 7/2/2014 07:43:55.4871 AM ]
starting sweep 129 of 940 [ Wed, 7/2/2014 07:43:56.2058 AM ]
starting sweep 130 of 940 [ Wed, 7/2/2014 07:43:56.9246 AM ]
starting sweep 131 of 940 [ Wed, 7/2/2014 07:43:57.6277 AM ]
starting sweep 132 of 940 [ Wed, 7/2/2014 07:43:58.3464 AM ]
starting sweep 133 of 940 [ Wed, 7/2/2014 07:43:59.0496 AM ]
starting sweep 134 of 940 [ Wed, 7/2/2014 07:43:59.7683 AM ]
starting sweep 135 of 940 [ Wed, 7/2/2014 07:44:00.4871 AM ]
starting sweep 136 of 940 [ Wed, 7/2/2014 07:44:01.2058 AM ]
starting sweep 137 of 940 [ Wed, 7/2/2014 07:44:01.9246 AM ]
starting sweep 138 of 940 [ Wed, 7/2/2014 07:44:02.6277 AM ]
starting sweep 139 of 940 [ Wed, 7/2/2014 07:44:03.3464 AM ]
starting sweep 140 of 940 [ Wed, 7/2/2014 07:44:04.0496 AM ]
starting sweep 141 of 940 [ Wed, 7/2/2014 07:44:04.7683 AM ]
starting sweep 142 of 940 [ Wed, 7/2/2014 07:44:05.4871 AM ]
starting sweep 143 of 940 [ Wed, 7/2/2014 07:44:06.2058 AM ]
starting sweep 144 of 940 [ Wed, 7/2/2014 07:44:06.9089 AM ]
starting sweep 145 of 940 [ Wed, 7/2/2014 07:44:07.6277 AM ]
starting sweep 146 of 940 [ Wed, 7/2/2014 07:44:08.3464 AM ]
starting sweep 147 of 940 [ Wed, 7/2/2014 07:44:09.0652 AM ]
starting sweep 148 of 940 [ Wed, 7/2/2014 07:44:09.7839 AM ]
starting sweep 149 of 940 [ Wed, 7/2/2014 07:44:10.5027 AM ]
starting sweep 150 of 940 [ Wed, 7/2/2014 07:44:11.2058 AM ]
starting sweep 151 of 940 [ Wed, 7/2/2014 07:44:11.9246 AM ]
starting sweep 152 of 940 [ Wed, 7/2/2014 07:44:12.6433 AM ]
starting sweep 153 of 940 [ Wed, 7/2/2014 07:44:13.3464 AM ]
starting sweep 154 of 940 [ Wed, 7/2/2014 07:44:14.0496 AM ]
starting sweep 155 of 940 [ Wed, 7/2/2014 07:44:14.7683 AM ]
starting sweep 156 of 940 [ Wed, 7/2/2014 07:44:15.4871 AM ]
starting sweep 157 of 940 [ Wed, 7/2/2014 07:44:16.2058 AM ]
starting sweep 158 of 940 [ Wed, 7/2/2014 07:44:16.9246 AM ]
starting sweep 159 of 940 [ Wed, 7/2/2014 07:44:17.6433 AM ]
starting sweep 160 of 940 [ Wed, 7/2/2014 07:44:18.3621 AM ]
starting sweep 161 of 940 [ Wed, 7/2/2014 07:44:19.0808 AM ]
starting sweep 162 of 940 [ Wed, 7/2/2014 07:44:19.7839 AM ]
starting sweep 163 of 940 [ Wed, 7/2/2014 07:44:20.5027 AM ]
starting sweep 164 of 940 [ Wed, 7/2/2014 07:44:21.2214 AM ]
starting sweep 165 of 940 [ Wed, 7/2/2014 07:44:21.9402 AM ]
starting sweep 166 of 940 [ Wed, 7/2/2014 07:44:22.6589 AM ]
starting sweep 167 of 940 [ Wed, 7/2/2014 07:44:23.3621 AM ]
starting sweep 168 of 940 [ Wed, 7/2/2014 07:44:24.0808 AM ]
starting sweep 169 of 940 [ Wed, 7/2/2014 07:44:24.7996 AM ]
starting sweep 170 of 940 [ Wed, 7/2/2014 07:44:25.5027 AM ]
starting sweep 171 of 940 [ Wed, 7/2/2014 07:44:26.2214 AM ]
starting sweep 172 of 940 [ Wed, 7/2/2014 07:44:26.9402 AM ]
starting sweep 173 of 940 [ Wed, 7/2/2014 07:44:27.6433 AM ]
starting sweep 174 of 940 [ Wed, 7/2/2014 07:44:28.3621 AM ]
starting sweep 175 of 940 [ Wed, 7/2/2014 07:44:29.0808 AM ]
starting sweep 176 of 940 [ Wed, 7/2/2014 07:44:29.8152 AM ]
starting sweep 177 of 940 [ Wed, 7/2/2014 07:44:30.5339 AM ]
starting sweep 178 of 940 [ Wed, 7/2/2014 07:44:31.2527 AM ]
starting sweep 179 of 940 [ Wed, 7/2/2014 07:44:31.9714 AM ]
starting sweep 180 of 940 [ Wed, 7/2/2014 07:44:32.6746 AM ]
starting sweep 181 of 940 [ Wed, 7/2/2014 07:44:33.3933 AM ]
starting sweep 182 of 940 [ Wed, 7/2/2014 07:44:34.0964 AM ]
starting sweep 183 of 940 [ Wed, 7/2/2014 07:44:34.8152 AM ]
starting sweep 184 of 940 [ Wed, 7/2/2014 07:44:35.5339 AM ]
starting sweep 185 of 940 [ Wed, 7/2/2014 07:44:36.2371 AM ]
starting sweep 186 of 940 [ Wed, 7/2/2014 07:44:36.9558 AM ]
starting sweep 187 of 940 [ Wed, 7/2/2014 07:44:37.6589 AM ]
starting sweep 188 of 940 [ Wed, 7/2/2014 07:44:38.3777 AM ]
starting sweep 189 of 940 [ Wed, 7/2/2014 07:44:39.0808 AM ]
starting sweep 190 of 940 [ Wed, 7/2/2014 07:44:39.8152 AM ]
starting sweep 191 of 940 [ Wed, 7/2/2014 07:44:40.5339 AM ]
starting sweep 192 of 940 [ Wed, 7/2/2014 07:44:41.2371 AM ]
starting sweep 193 of 940 [ Wed, 7/2/2014 07:44:41.9558 AM ]
starting sweep 194 of 940 [ Wed, 7/2/2014 07:44:42.6589 AM ]
starting sweep 195 of 940 [ Wed, 7/2/2014 07:44:43.3777 AM ]
starting sweep 196 of 940 [ Wed, 7/2/2014 07:44:44.0964 AM ]
starting sweep 197 of 940 [ Wed, 7/2/2014 07:44:44.7996 AM ]
starting sweep 198 of 940 [ Wed, 7/2/2014 07:44:45.5183 AM ]
starting sweep 199 of 940 [ Wed, 7/2/2014 07:44:46.2371 AM ]
starting sweep 200 of 940 [ Wed, 7/2/2014 07:44:46.9402 AM ]
starting sweep 201 of 940 [ Wed, 7/2/2014 07:44:47.6589 AM ]
starting sweep 202 of 940 [ Wed, 7/2/2014 07:44:48.3621 AM ]
starting sweep 203 of 940 [ Wed, 7/2/2014 07:44:49.0808 AM ]
starting sweep 204 of 940 [ Wed, 7/2/2014 07:44:49.7839 AM ]
starting sweep 205 of 940 [ Wed, 7/2/2014 07:44:50.5027 AM ]
starting sweep 206 of 940 [ Wed, 7/2/2014 07:44:51.2214 AM ]
starting sweep 207 of 940 [ Wed, 7/2/2014 07:44:51.9402 AM ]
starting sweep 208 of 940 [ Wed, 7/2/2014 07:44:52.6589 AM ]
starting sweep 209 of 940 [ Wed, 7/2/2014 07:44:53.3777 AM ]
starting sweep 210 of 940 [ Wed, 7/2/2014 07:44:54.0808 AM ]
starting sweep 211 of 940 [ Wed, 7/2/2014 07:44:54.7996 AM ]
starting sweep 212 of 940 [ Wed, 7/2/2014 07:44:55.5183 AM ]
starting sweep 213 of 940 [ Wed, 7/2/2014 07:44:56.2214 AM ]
starting sweep 214 of 940 [ Wed, 7/2/2014 07:44:56.9246 AM ]
starting sweep 215 of 940 [ Wed, 7/2/2014 07:44:57.6433 AM ]
starting sweep 216 of 940 [ Wed, 7/2/2014 07:44:58.3621 AM ]
starting sweep 217 of 940 [ Wed, 7/2/2014 07:44:59.0652 AM ]
starting sweep 218 of 940 [ Wed, 7/2/2014 07:44:59.7683 AM ]
starting sweep 219 of 940 [ Wed, 7/2/2014 07:45:00.4871 AM ]
starting sweep 220 of 940 [ Wed, 7/2/2014 07:45:01.2058 AM ]
starting sweep 221 of 940 [ Wed, 7/2/2014 07:45:01.9246 AM ]
starting sweep 222 of 940 [ Wed, 7/2/2014 07:45:02.6277 AM ]
starting sweep 223 of 940 [ Wed, 7/2/2014 07:45:03.3464 AM ]
starting sweep 224 of 940 [ Wed, 7/2/2014 07:45:04.0496 AM ]
starting sweep 225 of 940 [ Wed, 7/2/2014 07:45:04.7683 AM ]
starting sweep 226 of 940 [ Wed, 7/2/2014 07:45:05.4714 AM ]
starting sweep 227 of 940 [ Wed, 7/2/2014 07:45:06.1902 AM ]
starting sweep 228 of 940 [ Wed, 7/2/2014 07:45:06.9089 AM ]
starting sweep 229 of 940 [ Wed, 7/2/2014 07:45:07.6121 AM ]
starting sweep 230 of 940 [ Wed, 7/2/2014 07:45:08.3464 AM ]
starting sweep 231 of 940 [ Wed, 7/2/2014 07:45:09.0496 AM ]
starting sweep 232 of 940 [ Wed, 7/2/2014 07:45:09.7683 AM ]
starting sweep 233 of 940 [ Wed, 7/2/2014 07:45:10.4871 AM ]
starting sweep 234 of 940 [ Wed, 7/2/2014 07:45:11.2214 AM ]
starting sweep 235 of 940 [ Wed, 7/2/2014 07:45:11.9246 AM ]
starting sweep 236 of 940 [ Wed, 7/2/2014 07:45:12.6433 AM ]
starting sweep 237 of 940 [ Wed, 7/2/2014 07:45:13.3621 AM ]
starting sweep 238 of 940 [ Wed, 7/2/2014 07:45:14.0808 AM ]
starting sweep 239 of 940 [ Wed, 7/2/2014 07:45:14.8152 AM ]
starting sweep 240 of 940 [ Wed, 7/2/2014 07:45:15.5339 AM ]
starting sweep 241 of 940 [ Wed, 7/2/2014 07:45:16.2371 AM ]
starting sweep 242 of 940 [ Wed, 7/2/2014 07:45:16.9558 AM ]
starting sweep 243 of 940 [ Wed, 7/2/2014 07:45:17.6746 AM ]
starting sweep 244 of 940 [ Wed, 7/2/2014 07:45:18.3777 AM ]
starting sweep 245 of 940 [ Wed, 7/2/2014 07:45:19.0964 AM ]
starting sweep 246 of 940 [ Wed, 7/2/2014 07:45:19.8152 AM ]
starting sweep 247 of 940 [ Wed, 7/2/2014 07:45:20.5183 AM ]
starting sweep 248 of 940 [ Wed, 7/2/2014 07:45:21.2371 AM ]
starting sweep 249 of 940 [ Wed, 7/2/2014 07:45:21.9558 AM ]
starting sweep 250 of 940 [ Wed, 7/2/2014 07:45:22.6746 AM ]
starting sweep 251 of 940 [ Wed, 7/2/2014 07:45:23.3933 AM ]
