N = 1
axis 3 accel_decel = 500000
axis 3 conversion_factor = 4171.87
axis 3 name = platen
axis 3 steps_in_rev = 250000
axis 4 accel_decel = 500000
axis 4 conversion_factor = 417.448
axis 4 name = mandrel
axis 4 steps_in_rev = 25000
cathode 2 deposition_rate = 0.28
cathode 2 name = cathode 2
chamber_name = R&D1
current_N = 0
current_bilayer = 0
current_sweep_iterations = 0
mandrel_axis = 4
platen_axis = 3
run_name = RandD1_TiN_30sep2014_AandBposn_like18mar2013_duplicate

begin header for RandD1_TiN_30sep2014_AandBposn_like18mar2013_duplicate [ Tue, 9/30/2014 09:23:58.2826 AM ]
N = 1
axis 3 accel_decel = 500000
axis 3 conversion_factor = 4171.87
axis 3 name = platen
axis 3 steps_in_rev = 250000
axis 4 accel_decel = 500000
axis 4 conversion_factor = 417.448
axis 4 name = mandrel
axis 4 steps_in_rev = 25000
cathode 2 deposition_rate = 0.28
cathode 2 name = cathode 2
chamber_name = R&D1
current_N = 0
current_bilayer = 0
current_sweep_iterations = 0
mandrel_axis = 4
platen_axis = 3
run_name = RandD1_TiN_30sep2014_AandBposn_like18mar2013_duplicate

begin header for RandD1_TiN_30sep2014_AandBposn_like18mar2013_duplicate [ Tue, 9/30/2014 09:57:12.7982 AM ]
N = 1
axis 3 accel_decel = 500000
axis 3 conversion_factor = 4171.87
axis 3 name = platen
axis 3 steps_in_rev = 250000
axis 4 accel_decel = 500000
axis 4 conversion_factor = 417.448
axis 4 name = mandrel
axis 4 steps_in_rev = 25000
cathode 2 deposition_rate = 0.28
cathode 2 name = cathode 2
chamber_name = R&D1
current_N = 0
current_bilayer = 0
current_sweep_iterations = 0
mandrel_axis = 4
platen_axis = 3
run_name = RandD1_TiN_30sep2014_AandBposn_like18mar2013_duplicate

starting layer 1
starting bilayer 1
ofsetting platen back -4.0 degrees
opening shutter 2 [ Tue, 9/30/2014 09:57:13.4076 AM ]
sweeping platen back and forth 1393.0 times at 2.00020512821 RPM
starting sweep 194 of 1393 [ Tue, 9/30/2014 09:59:32.2826 AM ]
starting sweep 195 of 1393 [ Tue, 9/30/2014 09:59:33.0013 AM ]
starting sweep 196 of 1393 [ Tue, 9/30/2014 09:59:33.7044 AM ]
starting sweep 197 of 1393 [ Tue, 9/30/2014 09:59:34.4232 AM ]
starting sweep 198 of 1393 [ Tue, 9/30/2014 09:59:35.1419 AM ]
starting sweep 199 of 1393 [ Tue, 9/30/2014 09:59:35.8607 AM ]
starting sweep 200 of 1393 [ Tue, 9/30/2014 09:59:36.5794 AM ]
starting sweep 201 of 1393 [ Tue, 9/30/2014 09:59:37.2982 AM ]
starting sweep 202 of 1393 [ Tue, 9/30/2014 09:59:38.0169 AM ]
starting sweep 203 of 1393 [ Tue, 9/30/2014 09:59:38.7201 AM ]
starting sweep 204 of 1393 [ Tue, 9/30/2014 09:59:39.4388 AM ]
starting sweep 205 of 1393 [ Tue, 9/30/2014 09:59:40.1576 AM ]
starting sweep 206 of 1393 [ Tue, 9/30/2014 09:59:40.8607 AM ]
starting sweep 207 of 1393 [ Tue, 9/30/2014 09:59:41.5794 AM ]
starting sweep 208 of 1393 [ Tue, 9/30/2014 09:59:42.2826 AM ]
starting sweep 209 of 1393 [ Tue, 9/30/2014 09:59:43.0013 AM ]
starting sweep 210 of 1393 [ Tue, 9/30/2014 09:59:43.7201 AM ]
starting sweep 211 of 1393 [ Tue, 9/30/2014 09:59:44.4232 AM ]
starting sweep 212 of 1393 [ Tue, 9/30/2014 09:59:45.1419 AM ]
starting sweep 213 of 1393 [ Tue, 9/30/2014 09:59:45.8607 AM ]
starting sweep 214 of 1393 [ Tue, 9/30/2014 09:59:46.5794 AM ]
starting sweep 215 of 1393 [ Tue, 9/30/2014 09:59:47.2982 AM ]
starting sweep 216 of 1393 [ Tue, 9/30/2014 09:59:48.0169 AM ]
starting sweep 217 of 1393 [ Tue, 9/30/2014 09:59:48.7357 AM ]
starting sweep 218 of 1393 [ Tue, 9/30/2014 09:59:49.4388 AM ]
starting sweep 219 of 1393 [ Tue, 9/30/2014 09:59:50.1576 AM ]
starting sweep 220 of 1393 [ Tue, 9/30/2014 09:59:50.8607 AM ]
starting sweep 221 of 1393 [ Tue, 9/30/2014 09:59:51.5794 AM ]
starting sweep 222 of 1393 [ Tue, 9/30/2014 09:59:52.2982 AM ]
starting sweep 223 of 1393 [ Tue, 9/30/2014 09:59:53.0013 AM ]
starting sweep 224 of 1393 [ Tue, 9/30/2014 09:59:53.7201 AM ]
starting sweep 225 of 1393 [ Tue, 9/30/2014 09:59:54.4388 AM ]
starting sweep 226 of 1393 [ Tue, 9/30/2014 09:59:55.1419 AM ]
starting sweep 227 of 1393 [ Tue, 9/30/2014 09:59:55.8607 AM ]
starting sweep 228 of 1393 [ Tue, 9/30/2014 09:59:56.5794 AM ]
starting sweep 229 of 1393 [ Tue, 9/30/2014 09:59:57.2982 AM ]
starting sweep 230 of 1393 [ Tue, 9/30/2014 09:59:58.0169 AM ]
starting sweep 231 of 1393 [ Tue, 9/30/2014 09:59:58.7201 AM ]
starting sweep 232 of 1393 [ Tue, 9/30/2014 09:59:59.4388 AM ]
starting sweep 233 of 1393 [ Tue, 9/30/2014 10:00:00.1576 AM ]
starting sweep 234 of 1393 [ Tue, 9/30/2014 10:00:00.8919 AM ]
starting sweep 235 of 1393 [ Tue, 9/30/2014 10:00:01.5951 AM ]
starting sweep 236 of 1393 [ Tue, 9/30/2014 10:00:02.3138 AM ]
starting sweep 237 of 1393 [ Tue, 9/30/2014 10:00:03.0326 AM ]
starting sweep 238 of 1393 [ Tue, 9/30/2014 10:00:03.7357 AM ]
starting sweep 239 of 1393 [ Tue, 9/30/2014 10:00:04.4544 AM ]
